test_name,P,N,tp,tn,fp,fn,total_tokens,input_tokens,output_tokens,model_name
se1_IP,4592,90473,4592,90471,2,0,0,0,0,None
se1_domain,4592,90473,4592,90471,2,0,0,0,0,None
se1_file,4592,90473,4592,90471,2,0,0,0,0,None
se2_IP,15058,361389,15058,361386,3,0,0,0,0,None
se2_domain,15058,361389,15058,361372,17,0,0,0,0,None
se2_file,15058,361389,15058,361386,3,0,0,0,0,None
se3_IP,5165,123036,5018,123035,1,147,0,0,0,None
se3_domain,5165,123036,5018,123035,1,147,0,0,0,None
se3_file,5165,123036,5018,123028,8,147,0,0,0,None
se4_IP,18056,107535,17844,107518,17,212,0,0,0,None
se4_domain,18056,107535,17843,107460,75,213,0,0,0,None
se4_file,18056,107535,17836,107508,27,220,0,0,0,None
